,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
0,畢業,二技商務,102,日二技,5
1,畢業,二技企管,102,日二技,5
2,畢業,四技會資,103,日四技,3
3,畢業,四技會資,103,日四技,5
4,畢業,四技會資,103,日四技,3
5,畢業,四技會資,103,日四技,3
6,畢業,四技會資,103,日四技,5
7,畢業,四技會資,103,日四技,3
8,畢業,四技會資,103,日四技,5
9,畢業,四技會資,103,日四技,3
10,畢業,四技會資,103,日四技,3
11,畢業,四技會資,103,日四技,3
12,畢業,四技會資,103,日四技,3
13,畢業,四技會資,103,日四技,5
14,畢業,四技會資,103,日四技,3
15,畢業,四技會資,103,日四技,3
16,畢業,四技會資,103,日四技,5
17,畢業,四技會資,103,日四技,3
18,畢業,四技會資,103,日四技,3
19,畢業,四技會資,103,日四技,5
20,畢業,四技會資,103,日四技,3
21,畢業,四技會資,103,日四技,5
22,畢業,四技會資,103,日四技,3
23,畢業,四技會資,103,日四技,5
24,畢業,四技會資,103,日四技,3
25,畢業,四技會資,103,日四技,3
26,畢業,四技會資,103,日四技,5
27,畢業,四技會資,103,日四技,3
28,畢業,四技會資,103,日四技,3
29,畢業,四技會資,103,日四技,3
30,畢業,四技會資,103,日四技,5
31,畢業,四技會資,105,日四技,3
32,畢業,四技會資,105,日四技,1
33,畢業,四技會資,104,日四技,3
34,畢業,四技會資,103,日四技,5
35,畢業,四技會資,103,日四技,5
36,畢業,四技會資,103,日四技,3
37,畢業,四技會資,103,日四技,3
38,畢業,四技會資,103,日四技,3
39,畢業,四技會資,103,日四技,5
40,畢業,四技會資,103,日四技,3
41,畢業,四技會資,103,日四技,5
42,畢業,四技會資,103,日四技,3
43,畢業,四技會資,103,日四技,3
44,畢業,四技會資,105,日四技,3
45,畢業,四技會資,103,日四技,3
46,畢業,四技會資,103,日四技,3
47,畢業,四技會資,103,日四技,5
48,畢業,四技會資,103,日四技,3
49,畢業,四技會資,103,日四技,5
50,畢業,四技會資,103,日四技,3
51,畢業,四技會資,103,日四技,5
52,畢業,四技會資,103,日四技,5
53,畢業,四技會資,103,日四技,3
54,畢業,四技會資,103,日四技,5
55,畢業,四技會資,103,日四技,5
56,畢業,四技會資,103,日四技,3
57,畢業,四技會資,103,日四技,5
58,畢業,四技會資,103,日四技,3
59,畢業,四技會資,103,日四技,3
60,畢業,四技會資,103,日四技,5
61,畢業,四技會資,104,日四技,5
62,畢業,四技會資,104,日四技,3
63,畢業,四技會資,103,日四技,3
64,畢業,四技會資,103,日四技,5
65,畢業,四技會資,103,日四技,3
66,畢業,四技會資,103,日四技,5
67,畢業,四技會資,103,日四技,3
68,畢業,四技會資,103,日四技,5
69,畢業,四技會資,103,日四技,3
70,畢業,四技會資,103,日四技,3
71,畢業,四技會資,103,日四技,5
72,畢業,四技會資,103,日四技,3
73,畢業,四技會資,103,日四技,3
74,畢業,四技會資,104,日四技,3
75,畢業,四技會資,104,日四技,5
76,畢業,四技會資,106,日四技,3
77,畢業,四技會資,106,日四技,5
78,畢業,四技會資,103,日四技,3
79,畢業,四技會資,107,日四技,1
80,畢業,四技財金,103,日四技,3
81,畢業,四技財金,103,日四技,3
82,畢業,四技財金,103,日四技,5
83,畢業,四技財金,103,日四技,5
84,畢業,四技財金,103,日四技,3
85,畢業,四技財金,103,日四技,3
86,畢業,四技財金,103,日四技,5
87,畢業,四技財金,103,日四技,3
88,畢業,四技財金,103,日四技,5
89,畢業,四技財金,103,日四技,5
90,畢業,四技財金,103,日四技,3
91,畢業,四技財金,103,日四技,3
92,畢業,四技財金,103,日四技,5
93,畢業,四技財金,103,日四技,3
94,畢業,四技財金,103,日四技,5
95,畢業,四技財金,103,日四技,3
96,畢業,四技財金,103,日四技,5
97,畢業,四技財金,104,日四技,1
98,畢業,四技財金,103,日四技,3
99,畢業,四技財金,103,日四技,3
100,畢業,四技財金,103,日四技,5
101,畢業,四技財金,103,日四技,3
102,畢業,四技財金,103,日四技,3
103,畢業,四技財金,103,日四技,3
104,畢業,四技財金,103,日四技,5
105,畢業,四技財金,103,日四技,5
106,畢業,四技財金,103,日四技,3
107,畢業,四技財金,103,日四技,5
108,畢業,四技財金,103,日四技,3
109,畢業,四技財金,103,日四技,3
110,畢業,四技財金,103,日四技,3
111,畢業,四技財金,103,日四技,5
112,畢業,四技財金,103,日四技,3
113,畢業,四技財金,103,日四技,3
114,畢業,四技財金,103,日四技,5
115,畢業,四技財金,103,日四技,3
116,畢業,四技財金,103,日四技,3
117,畢業,四技財金,104,日四技,5
118,畢業,四技財金,103,日四技,5
119,畢業,四技財金,103,日四技,3
120,畢業,四技財金,103,日四技,3
121,畢業,四技財金,103,日四技,5
122,畢業,四技財金,103,日四技,3
123,畢業,四技財金,103,日四技,3
124,畢業,四技財金,103,日四技,5
125,畢業,四技財金,103,日四技,5
126,畢業,四技財金,103,日四技,3
127,畢業,進四技企管,104,進四技,3
128,畢業,進四技企管,104,進四技,5
129,畢業,四技財金,103,日四技,5
130,畢業,四技財金,103,日四技,3
131,畢業,四技財金,103,日四技,3
132,畢業,四技財金,103,日四技,5
133,畢業,四技財金,104,日四技,3
134,畢業,四技財金,104,日四技,5
135,畢業,四技財金,103,日四技,3
136,畢業,四技財金,104,日四技,3
137,畢業,四技財金,103,日四技,3
138,畢業,四技財金,103,日四技,5
139,畢業,四技財金,103,日四技,3
140,畢業,四技財金,103,日四技,3
141,畢業,四技財金,103,日四技,5
142,畢業,四技財金,103,日四技,3
143,畢業,四技財金,103,日四技,3
144,畢業,四技財金,103,日四技,5
145,畢業,四技財金,103,日四技,3
146,畢業,四技財金,103,日四技,3
147,畢業,四技財金,103,日四技,5
148,畢業,四技財金,103,日四技,3
149,畢業,四技財金,103,日四技,5
150,畢業,四技財金,103,日四技,3
151,畢業,四技財金,106,日四技,1
152,畢業,四技財金,105,日四技,5
153,畢業,四技財金,105,日四技,1
154,畢業,四技財稅,103,日四技,5
155,畢業,四技財稅,103,日四技,3
156,畢業,四技財稅,103,日四技,3
157,畢業,四技財稅,103,日四技,5
158,畢業,四技財稅,103,日四技,3
159,畢業,四技財稅,103,日四技,5
160,畢業,四技財稅,103,日四技,3
161,畢業,四技財稅,103,日四技,3
162,畢業,四技財稅,103,日四技,3
163,畢業,四技財稅,103,日四技,5
164,畢業,四技財稅,103,日四技,5
165,畢業,四技財稅,103,日四技,3
166,畢業,四技財稅,103,日四技,3
167,畢業,四技財稅,103,日四技,5
168,畢業,四技財稅,103,日四技,5
169,畢業,四技財稅,103,日四技,3
170,畢業,四技財稅,103,日四技,3
171,畢業,四技財稅,103,日四技,5
172,畢業,四技財稅,103,日四技,3
173,畢業,四技財稅,103,日四技,5
174,畢業,四技財稅,103,日四技,3
175,畢業,四技財稅,103,日四技,3
176,畢業,四技財稅,103,日四技,5
177,畢業,四技財稅,103,日四技,3
178,畢業,四技財稅,103,日四技,5
179,畢業,四技財稅,103,日四技,3
180,畢業,四技財稅,103,日四技,5
181,畢業,四技財稅,103,日四技,3
182,畢業,四技財稅,103,日四技,5
183,畢業,四技財稅,103,日四技,3
