,區域別,國家,姊妹校,校名(英文)
0,北美洲 North America,美國 United States,匹茲堡州立大學,Pittsburg State University
1,北美洲 North America,美國 United States,明尼蘇達大學克魯克斯頓分校,"University of Minnesota, Crookston"
2,北美洲 North America,美國 United States,夏威夷太平洋大學,Hawaii Pacific University
3,北美洲 North America,美國 United States,德州大學阿靈頓分校,University of Texas at Arlington
4,北美洲 North America,美國 United States,加州州立大學蒙特里灣分校,California State University Monterey Bay
5,北美洲 North America,美國 United States,加州州立大學舊金山分校,San Francisco State University
6,北美洲 North America,美國 United States,波莫納加州州立理工大學,Cal Poly Pomona
7,北美洲 North America,加拿大 Canada,麥迪森海特學院,Medicine Hat College
8,北美洲 North America,加拿大 Canada,希爾克學院,Selkirk College
9,北美洲 North America,加拿大 Canada,溫哥華島大學,Vancouver Island University
10,南美洲 South America,智利 Chile,太平洋大學,Universidad del Pacífico
11,大洋洲 Oceania,澳洲 Australia,拉特博大學,La Trobe University
12,大洋洲 Oceania,澳洲 Australia,雪梨科技大學,University of Technology Sydney
13,歐洲 Europe,匈牙利 Hungary,布達佩斯商學院,Budapest Business School
14,歐洲 Europe,德國 Germany,阿莎芬堡應用科技大學,Aschaffenburg University of Applied Sciences
15,歐洲 Europe,德國 Germany,萊茵瓦爾應用科技大學,Rhein-Waal University of Applied Sciences
16,歐洲 Europe,德國 Germany,慕尼黑科技大學,Munich University of Applied Sciences
17,歐洲 Europe,德國 Germany,新烏爾姆應用科技大學,Hochschule Neu-Ulm University of Applied Sciences
18,歐洲 Europe,德國 Germany,凱撒斯勞斯騰應用科技大學,Kaiserslautern University of Applied Sciences
19,歐洲 Europe,德國 Germany,德國科隆商學院,CBS International Business School
20,歐洲 Europe,荷蘭 Netherlands,薩克森應用科技大學,Saxion University of Applied Sciences
21,歐洲 Europe,荷蘭 Netherlands,格羅寧根漢斯應用科技大學,"Hanze University of Applied Sciences, Groningen"
22,歐洲 Europe,荷蘭 Netherlands,海牙應用科技大學,The Hague University of Applied Sciences
23,歐洲 Europe,比利時 Belgium,比利時高等商學院,EPHEC Le chemin pratique vers la réussite
24,歐洲 Europe,奧地利 Austria,克姆斯應用科技大學,IMC University of Applied Sciences Krems
25,歐洲 Europe,奧地利 Austria,庫夫斯坦科技大學,Fachhochschule Kufstein Tirol University of Applied Sciences
26,歐洲 Europe,法國 France,諾歐商學院,Neoma Business School
27,歐洲 Europe,法國 France,里勒天主教大學,Lille Catholic University
28,歐洲 Europe,法國 France,蒙特佩利爾商學院,Montpellier Business School
29,歐洲 Europe,拉脫維亞 Latvia,里加工業大學,Riga Technical University
30,歐洲 Europe,瑞典 Sweden,克里斯蒂安斯塔德大學,Kristianstad University
31,歐洲 Europe,捷克 Czech Republic,捷克理工大學馬薩里克高等研究所,"Czech Technical University in Prague, Masaryk Institute of Advanced Studies"
32,歐洲 Europe,捷克 Czech Republic,捷克利貝雷茨科技大學,Technical University of Liberec
33,歐洲 Europe,捷克 Czech Republic,布拉格化工大學,University of Chemistry and Technology Prague
34,歐洲 Europe,捷克 Czech Republic,捷克牛頓學院,Newton University
