,畢業滿_年,工作職業類型
0,5,
1,5,
2,3,金融財務類
3,5,
4,3,金融財務類
5,3,教育與訓練類
6,5,
7,3,
8,5,
9,3,行銷與銷售類
10,3,金融財務類
11,3,金融財務類
12,3,金融財務類
13,5,
14,3,金融財務類
15,3,金融財務類
16,5,
17,3,金融財務類
18,3,金融財務類
19,5,
20,3,政府公共事務類
21,5,
22,3,金融財務類
23,5,
24,3,金融財務類
25,3,金融財務類
26,5,
27,3,金融財務類
28,3,金融財務類
29,3,金融財務類
30,5,
31,3,金融財務類
32,1,金融財務類
33,3,金融財務類
34,5,
35,5,
36,3,金融財務類
37,3,政府公共事務類
38,3,金融財務類
39,5,
40,3,行銷與銷售類
41,5,
42,3,金融財務類
43,3,金融財務類
44,3,金融財務類
45,3,金融財務類
46,3,行銷與銷售類
47,5,
48,3,金融財務類
49,5,
50,3,金融財務類
51,5,
52,5,
53,3,金融財務類
54,5,
55,5,
56,3,金融財務類
57,5,
58,3,金融財務類
59,3,製造業
60,5,
61,5,
62,3,金融財務類
63,3,金融財務類
64,5,
65,3,金融財務類
66,5,
67,3,金融財務類
68,5,
69,3,金融財務類
70,3,
71,5,
72,3,教育與訓練類
73,3,
74,3,金融財務類
75,5,
76,3,金融財務類
77,5,
78,3,金融財務類
79,1,教育與訓練類
80,3,企業經營管理類
81,3,行銷與銷售類
82,5,
83,5,
84,3,金融財務類
85,3,金融財務類
86,5,
87,3,金融財務類
88,5,
89,5,
90,3,金融財務類
91,3,金融財務類
92,5,
93,3,金融財務類
94,5,
95,3,個人及社會服務類
96,5,
97,1,金融財務類
98,3,金融財務類
99,3,醫療保健類
100,5,
101,3,政府公共事務類
102,3,金融財務類
103,3,金融財務類
104,5,
105,5,
106,3,金融財務類
107,5,
108,3,企業經營管理類
109,3,金融財務類
110,3,金融財務類
111,5,
112,3,金融財務類
113,3,製造業
114,5,
115,3,企業經營管理類
116,3,金融財務類
117,5,
118,5,
119,3,金融財務類
120,3,金融財務類
121,5,
122,3,金融財務類
123,3,金融財務類
124,5,
125,5,
126,3,金融財務類
127,3,行銷與銷售類
128,5,
129,5,
130,3,金融財務類
131,3,金融財務類
132,5,
133,3,金融財務類
134,5,
135,3,企業經營管理類
136,3,建築營造業
137,3,金融財務類
138,5,
139,3,金融財務類
140,3,金融財務類
141,5,
142,3,
143,3,金融財務類
144,5,
145,3,個人及社會服務類
146,3,金融財務類
147,5,
148,3,教育與訓練類
149,5,
150,3,金融財務類
151,1,金融財務類
152,5,
153,1,金融財務類
154,5,
155,3,金融財務類
156,3,企業經營管理類
157,5,
158,3,金融財務類
159,5,
160,3,金融財務類
161,3,物流運輸類
162,3,金融財務類
163,5,
164,5,
165,3,企業經營管理類
166,3,金融財務類
167,5,
168,5,
169,3,
170,3,金融財務類
171,5,
172,3,金融財務類
173,5,
174,3,金融財務類
175,3,金融財務類
176,5,
177,3,金融財務類
178,5,
179,3,金融財務類
180,5,
181,3,政府公共事務類
182,5,
183,3,司法、法律與公共安全類
184,5,
185,3,
186,5,
187,5,
188,3,金融財務類
189,3,休閒與觀光旅遊類
190,3,企業經營管理類
191,5,
192,3,金融財務類
193,3,金融財務類
194,5,
195,3,金融財務類
196,5,
197,3,行銷與銷售類
198,3,金融財務類
199,5,
200,3,資訊科技類
201,3,行銷與銷售類
202,5,
203,3,資訊科技類
204,5,
205,3,金融財務類
206,3,金融財務類
207,3,金融財務類
208,5,
209,3,資訊科技類
210,3,物流運輸類
211,5,
212,3,金融財務類
213,5,
214,3,企業經營管理類
215,5,
216,3,企業經營管理類
217,3,休閒與觀光旅遊類
218,1,
219,3,製造業
220,5,
221,3,資訊科技類
222,3,行銷與銷售類
223,5,
224,5,
225,5,
226,3,金融財務類
227,3,資訊科技類
228,3,金融財務類
229,5,
230,5,
231,3,物流運輸類
232,5,
233,5,
234,3,金融財務類
235,3,企業經營管理類
236,5,
237,3,行銷與銷售類
238,3,資訊科技類
239,3,個人及社會服務類
240,5,
241,3,醫療保健類
242,5,
243,3,科學、技術、工程、數學類
244,3,製造業
245,3,製造業
246,3,休閒與觀光旅遊類
247,5,
248,5,
249,3,金融財務類
250,3,
251,5,
252,5,
253,3,休閒與觀光旅遊類
254,3,金融財務類
255,3,資訊科技類
256,5,
257,5,
258,3,金融財務類
259,3,休閒與觀光旅遊類
260,5,
261,3,
262,3,企業經營管理類
263,5,
264,5,
265,3,行銷與銷售類
266,3,休閒與觀光旅遊類
267,3,金融財務類
268,5,
