,Years,Edu_Short,Dept_Short,Sex
0,100,日二技,二技商務,女
1,101,日二技,二技企管,女
2,100,日四技,四技會資,女
3,103,日四技,四技會資,女
4,103,日四技,四技會資,女
5,103,日四技,四技會資,女
6,103,日四技,四技會資,女
7,100,日四技,四技會資,女
8,100,日四技,四技會資,女
9,103,日四技,四技會資,女
10,103,日四技,四技會資,女
11,100,日四技,四技會資,女
12,100,日四技,四技會資,男
13,100,日四技,四技會資,女
14,100,日四技,四技會資,女
15,103,日四技,四技會資,女
16,103,日四技,四技會資,女
17,103,日四技,四技會資,女
18,103,日四技,四技會資,女
19,103,日四技,四技會資,女
20,103,日四技,四技會資,女
21,103,日四技,四技會資,男
22,103,日四技,四技會資,男
23,103,日四技,四技會資,女
24,103,日四技,四技會資,女
25,103,日四技,四技會資,女
26,103,日四技,四技會資,女
27,103,日四技,四技會資,女
28,102,日四技,四技會資,男
29,100,日四技,四技會資,男
30,100,日四技,四技會資,男
31,103,日四技,四技會資,女
32,103,日四技,四技會資,女
33,103,日四技,四技會資,女
34,102,日四技,四技會資,男
35,103,日四技,四技會資,男
36,103,日四技,四技會資,男
37,103,日四技,四技會資,男
38,100,日四技,四技會資,男
39,100,日四技,四技會資,男
40,103,日四技,四技會資,女
41,103,日四技,四技會資,男
42,103,日四技,四技會資,男
43,103,日四技,四技會資,男
44,105,日四技,四技會資,女
45,103,日四技,四技會資,女
46,103,日四技,四技會資,女
47,103,日四技,四技會資,男
48,103,日四技,四技會資,女
49,103,日四技,四技會資,女
50,101,日四技,四技會資,女
51,101,日四技,四技會資,女
52,103,日四技,四技會資,女
53,103,日四技,四技會資,女
54,100,日四技,四技會資,女
55,103,日四技,四技會資,女
56,103,日四技,四技會資,女
57,101,日四技,四技會資,女
58,101,日四技,四技會資,女
59,103,日四技,四技會資,男
60,103,日四技,四技會資,男
61,104,日四技,四技會資,女
62,104,日四技,四技會資,女
63,101,日四技,四技會資,男
64,101,日四技,四技會資,男
65,101,日四技,四技會資,女
66,101,日四技,四技會資,女
67,103,日四技,四技會資,女
68,102,日四技,四技會資,女
69,102,日四技,四技會資,女
70,100,日四技,四技會資,女
71,100,日四技,四技會資,女
72,103,日四技,四技會資,男
73,103,日四技,四技會資,女
74,100,日四技,四技會資,女
75,100,日四技,四技會資,女
76,100,日四技,四技會資,女
77,100,日四技,四技會資,女
78,102,日四技,四技會資,男
79,107,日四技,四技會資,女
80,103,日四技,四技財金,女
81,102,日四技,四技財金,女
82,102,日四技,四技財金,女
83,100,日四技,四技財金,女
84,100,日四技,四技財金,女
85,103,日四技,四技財金,男
86,103,日四技,四技財金,男
87,102,日四技,四技財金,女
