,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數總計,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上人數-總計,兼任助理教授以上人數-男,兼任助理教授以上人數-女,兼任講師以上人數-總計,兼任講師以上人數-男,兼任講師以上人數-女
0,106,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,13,9,4,0,0,0,0,1,2,8,2,0,0,3,1,2,13,9,4
1,106,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,10,5,5,1,0,0,0,1,0,3,5,0,0,2,2,0,10,5,5
2,106,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,58,35,23,0,0,5,1,9,12,21,10,0,0,27,14,13,58,35,23
3,106,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,51,30,21,2,0,7,6,4,2,17,13,0,0,21,13,8,51,30,21
4,106,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,15,5,0,0,0,0,5,0,10,5,0,0,5,5,0,20,15,5
5,106,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,39,20,19,1,1,1,4,6,4,12,10,0,0,17,8,9,39,20,19
6,106,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,110,65,45,1,1,3,3,16,9,45,32,0,0,33,20,13,110,65,45
7,106,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,46,23,23,1,0,2,1,5,3,15,19,0,0,12,8,4,46,23,23
8,106,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,10,6,4,0,0,0,0,0,1,6,3,0,0,1,0,1,10,6,4
9,106,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
10,106,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,30,19,11,0,1,3,1,6,0,10,9,0,0,11,9,2,30,19,11
11,106,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0
12,106,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,69,31,38,0,0,3,3,14,24,14,11,0,0,44,17,27,69,31,38
13,106,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
14,106,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,17,11,6,0,0,1,3,4,0,6,3,0,0,8,5,3,17,11,6
15,107,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,14,10,4,0,0,0,0,1,1,9,3,0,0,2,1,1,14,10,4
16,107,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,6,4,2,0,0,0,0,1,0,3,2,0,0,1,1,0,6,4,2
17,107,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,42,23,19,0,0,3,1,1,10,19,8,0,0,15,4,11,42,23,19
18,107,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,47,32,15,3,0,6,2,5,3,18,10,0,0,19,14,5,47,32,15
19,107,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,16,14,2,0,0,0,0,4,0,10,2,0,0,4,4,0,16,14,2
20,107,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,31,18,13,1,1,1,4,6,4,10,4,0,0,17,8,9,31,18,13
21,107,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,59,37,22,1,1,1,2,9,4,26,15,0,0,18,11,7,59,37,22
22,107,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,36,18,18,1,0,2,1,3,3,12,14,0,0,10,6,4,36,18,18
23,107,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,16,9,7,0,0,0,0,5,0,4,7,0,0,5,5,0,16,9,7
24,107,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,27,20,7,0,1,3,1,6,0,11,5,0,0,11,9,2,27,20,7
25,107,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,2,2,0,0,0,1,0,1,0,0,0,0,0,2,2,0,2,2,0
26,107,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,59,27,32,0,0,2,2,15,19,10,11,0,0,38,17,21,59,27,32
27,107,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
28,107,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,15,11,4,0,0,2,1,3,1,6,2,0,0,7,5,2,15,11,4
29,108,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,10,8,2,0,0,0,0,0,1,8,1,0,0,1,0,1,10,8,2
30,108,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,8,4,4,0,0,1,0,0,0,3,4,0,0,1,1,0,8,4,4
31,108,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,34,20,14,0,0,1,0,5,8,14,6,0,0,14,6,8,34,20,14
32,108,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,41,30,11,3,0,6,1,6,2,15,8,0,0,18,15,3,41,30,11
33,108,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,16,14,2,0,0,0,0,3,0,11,2,0,0,3,3,0,16,14,2
34,108,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,29,17,12,0,1,2,3,6,2,9,6,0,0,14,8,6,29,17,12
35,108,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,57,37,20,2,1,2,1,9,6,24,12,0,0,21,13,8,57,37,20
36,108,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,32,16,16,0,0,1,1,3,2,12,13,0,0,7,4,3,32,16,16
37,108,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,16,6,10,0,0,0,0,1,1,5,9,0,0,2,1,1,16,6,10
38,108,公立,技專校院,51,國立臺北商業大學,04199Y70,財經學院,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
39,108,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,26,19,7,0,1,3,0,5,1,11,5,0,0,10,8,2,26,19,7
40,108,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
41,108,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,49,22,27,0,0,2,2,13,17,7,8,0,0,34,15,19,49,22,27
42,108,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,14,10,4,0,0,1,1,3,1,6,2,0,0,6,4,2,14,10,4
43,109,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,10,9,1,0,0,0,0,2,0,7,1,0,0,2,2,0,10,9,1
44,109,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,18,9,9,0,0,0,0,2,0,7,9,0,0,2,2,0,18,9,9
45,109,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,8,4,4,0,0,0,0,1,1,3,3,0,0,2,1,1,8,4,4
46,109,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,40,30,10,0,0,2,1,6,2,22,7,0,0,11,8,3,40,30,10
47,109,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,32,24,8,3,0,4,0,5,1,12,7,0,0,13,12,1,32,24,8
48,109,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,11,8,3,0,0,1,0,1,0,6,3,0,0,2,2,0,11,8,3
49,109,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,30,16,14,0,1,2,3,5,5,9,5,0,0,16,7,9,30,16,14
