,Entry_Duct_Name,Sex,Institute,End_Year
0,登記分發,女,財經學院,102
1,登記分發,女,管理學院,102
2,技優保送,女,管理學院,103
3,繁星計畫,女,管理學院,103
4,繁星計畫,女,管理學院,103
5,繁星計畫,女,管理學院,103
6,繁星計畫,女,管理學院,103
7,申請入學,女,管理學院,103
8,申請入學,女,管理學院,103
9,申請入學,女,管理學院,103
10,推甄,女,管理學院,103
11,推甄,女,管理學院,103
12,推甄,男,管理學院,103
13,推甄,女,管理學院,103
14,推甄,女,管理學院,103
15,推甄,女,管理學院,103
16,推甄,女,管理學院,103
17,推甄,女,管理學院,103
18,推甄,女,管理學院,103
19,推甄,女,管理學院,103
20,推甄,女,管理學院,103
21,登記分發,男,管理學院,103
22,登記分發,男,管理學院,103
23,登記分發,女,管理學院,103
24,登記分發,女,管理學院,103
25,登記分發,女,管理學院,103
26,登記分發,女,管理學院,103
27,登記分發,女,管理學院,103
28,登記分發,男,管理學院,103
29,登記分發,男,管理學院,103
30,登記分發,男,管理學院,103
31,登記分發,女,管理學院,105
32,登記分發,女,管理學院,105
33,登記分發,女,管理學院,104
34,登記分發,男,管理學院,103
35,登記分發,男,管理學院,103
36,登記分發,男,管理學院,103
37,登記分發,男,管理學院,103
38,登記分發,男,管理學院,103
39,登記分發,男,管理學院,103
40,登記分發,女,管理學院,103
41,繁星計畫,男,管理學院,103
42,繁星計畫,男,管理學院,103
43,申請入學,男,管理學院,103
44,推甄,女,管理學院,105
45,推甄,女,管理學院,103
46,推甄,女,管理學院,103
47,推甄,男,管理學院,103
48,推甄,女,管理學院,103
49,推甄,女,管理學院,103
50,原民推薦,女,管理學院,103
51,原民推薦,女,管理學院,103
52,登記分發,女,管理學院,103
53,登記分發,女,管理學院,103
54,登記分發,女,管理學院,103
55,登記分發,女,管理學院,103
56,登記分發,女,管理學院,103
57,登記分發,女,管理學院,103
58,登記分發,女,管理學院,103
59,登記分發,男,管理學院,103
60,登記分發,男,管理學院,103
61,登記分發,女,管理學院,104
62,登記分發,女,管理學院,104
63,登記分發,男,管理學院,103
64,登記分發,男,管理學院,103
65,登記分發,女,管理學院,103
66,登記分發,女,管理學院,103
67,登記分發,女,管理學院,103
68,登記分發,女,管理學院,103
69,登記分發,女,管理學院,103
70,登記分發,女,管理學院,103
71,登記分發,女,管理學院,103
72,登記分發,男,管理學院,103
