,學年度,學制班別,系所名稱,實習總時數
0,110,學士班(日間),數位多媒體設計系,640.0
1,110,學士班(日間),商業設計管理系,640.0
2,110,學士班(日間),創意科技與產品設計系,160.0
3,110,學士班(日間),創意科技與產品設計系,5420.0
4,110,學士班(日間),應用外語系,343.5
5,110,學士班(日間),應用外語系,1064.0
6,110,五專,應用外語科,1001.0
7,110,學士班(日間),【特殊專班】應用外語系,6690.5
8,110,學士班(日間),會計資訊系,1200.0
9,110,學士班(日間),會計資訊系,1200.0
10,110,學士班(日間),【特殊專班】會計資訊系,1440.0
11,110,學士班(日間),財務金融系,22670.0
12,110,學士班(日間),財務金融系,13984.0
13,110,學士班(進修),財務金融系,1440.0
14,110,碩士班(日間),財務金融系碩士班,3600.0
15,110,學士班(日間),財政稅務系,3040.0
16,110,學士班(日間),財政稅務系,3920.0
17,110,學士班(日間),【特殊專班】企業管理系_連鎖餐飲管理專班,9360.0
18,110,學士班(日間),企業管理系,3840.0
19,110,學士班(日間),企業管理系,5760.0
20,110,學士班(進修),【特殊專班】企業管理五專菁英班升讀二技,1760.0
21,110,五專,國際貿易科,640.0
22,110,學士班(日間),國際商務系,1680.0
23,110,學士班(日間),國際商務系,2640.0
24,110,學士班(進修),國際商務系,640.0
25,110,碩士班(日間),國際商務系碩士班,1520.0
26,110,碩士班(日間),貿易實務法律暨談判碩士學位學程,320.0
27,110,學士班(日間),資訊管理系,640.0
28,110,學士班(日間),資訊管理系,320.0
29,111,學士班(日間),【特殊專班】數位多媒體設計系,8640.0
30,111,學士班(日間),數位多媒體設計系,3096.0
31,111,學士班(日間),商業設計管理系,1280.0
32,111,學士班(日間),商業設計管理系,5760.0
33,111,學士班(日間),應用外語系,3840.0
34,111,學士班(日間),應用外語系,2772.0
35,111,五專,應用外語科,340.0
36,111,學士班(日間),會計資訊系,1200.0
37,111,學士班(日間),會計資訊系,1200.0
38,111,學士班(日間),【特殊專班】會計資訊系,1440.0
39,111,學士班(日間),財務金融系,21360.0
40,111,學士班(日間),財務金融系,12960.0
41,111,學士班(進修),財務金融系,1440.0
42,111,碩士班(日間),財務金融系碩士班,3600.0
43,111,學士班(日間),財政稅務系,11200.0
44,111,學士班(日間),財政稅務系,8400.0
45,111,學士班(日間),【特殊專班】企業管理系_連鎖餐飲管理專班,9000.0
46,111,五專,企業管理科,480.0
47,111,學士班(日間),企業管理系,7840.0
48,111,學士班(日間),企業管理系,4800.0
49,111,學士班(進修),【特殊專班】企業管理五專菁英班升讀二技,480.0
50,111,學士班(日間),國際商務系,2152.0
51,111,學士班(日間),國際商務系,402.0
52,111,碩士班(日間),國際商務系碩士班,288.0
53,111,碩士班(日間),貿易實務法律暨談判碩士學位學程,480.0
54,111,五專,資訊管理科,480.0
55,111,學士班(日間),資訊管理系,2400.0
56,111,學士班(日間),資訊管理系,960.0
57,統計說明 ,,,
58,學年度[歷史資料]：係指【學年度】為篩選條件。,,,
59,設立別：係指【公立、私立】大專校院等分類。,,,
60,學校類別：係指【一般大學、技專校院、宗教研修學院】等。,,,
61,學校名稱：係指【學校校名】。,,,
62,系所名稱：係指【學校系、所、學位學程】之名稱。,,,
63,學制班別：係指【二專(日間)、二專(進修)、五專、學士班(日間)、學士班(進修)、碩士班(日間)、碩士在職專班、博士班、附設進院、附設進專】；其中學士班(日間)及學士班(進修)包含大學四年制(或四技)、大學二年制(或二技)及學士後第二專長學位學程。,,,
64,寒假實習：係指於【寒假期間】至校外或附屬機構從事實習之學生【男、女】人次及實習總時數。,,,
65,暑期實習：係指於【暑假期間】至校外或附屬機構從事實習之學生【男、女】人次及實習總時數。,,,
66,全學期/單一學期：係指【全學期/單一學期】所有學分(課程)均於校外或附屬機構從事實習之學生【男、女】人次及實習總時數。,,,
67,學期期間實習：係指【學期期間】有部分學分在校外或附屬機構從事實習之學生【男、女】人次及實習總時數。,,,
68,全學年實習：係指【全學年】所有學分(課程)均於校外或附屬機構從事實習之學生【男、女】人數及實習總時數。全學年包含「當學年(當學年上、下學期)」或「分學年(跨學年之上、下學期)」兩種。,,,
69,資料來源：資料由【教育部高教司大學校院校務資料庫】之「學 10. 學生實習人數及時數」、【教育部技職司技專校院校務資料庫】之「表4-7-2 學生實習資料表」產出，並由【教育部高教司】、【教育部技職司】彙整提供，以每年10月15日為統計基準日。,,,
