,Dept_Short,工作所在地點_境內區域,畢業滿_年
0,二技商務,台北市,5
1,二技企管,台北市,5
2,四技會資,台北市,3
3,四技會資,新北市,5
4,四技會資,台北市,3
5,四技會資,新北市,3
6,四技會資,台北市,5
7,四技會資,,3
8,四技會資,,5
9,四技會資,台北市,3
10,四技會資,台北市,3
11,四技會資,新北市,3
12,四技會資,新北市,3
13,四技會資,台北市,5
14,四技會資,台北市,3
15,四技會資,台北市,3
16,四技會資,台北市,5
17,四技會資,新北市,3
18,四技會資,台北市,3
19,四技會資,台北市,5
20,四技會資,新北市,3
21,四技會資,台北市,5
22,四技會資,台北市,3
23,四技會資,台北市,5
24,四技會資,台北市,3
25,四技會資,台北市,3
26,四技會資,台北市,5
27,四技會資,台北市,3
28,四技會資,台北市,3
29,四技會資,台北市,3
30,四技會資,台北市,5
31,四技會資,新北市,3
32,四技會資,台北市,1
33,四技會資,台北市,3
34,四技會資,台北市,5
35,四技會資,台北市,5
36,四技會資,台北市,3
37,四技會資,台北市,3
38,四技會資,基隆市,3
39,四技會資,台中市,5
40,四技會資,台北市,3
41,四技會資,台北市,5
42,四技會資,新北市,3
43,四技會資,新北市,3
44,四技會資,台北市,3
45,四技會資,桃園市,3
46,四技會資,新北市,3
47,四技會資,台北市,5
48,四技會資,新北市,3
49,四技會資,台北市,5
50,四技會資,台北市,3
51,四技會資,台北市,5
52,四技會資,台北市,5
53,四技會資,台北市,3
54,四技會資,台北市,5
55,四技會資,桃園市,5
56,四技會資,台北市,3
57,四技會資,桃園市,5
58,四技會資,桃園市,3
59,四技會資,新北市,3
60,四技會資,新北市,5
61,四技會資,台中市,5
62,四技會資,台中市,3
63,四技會資,台北市,3
64,四技會資,台中市,5
65,四技會資,台北市,3
66,四技會資,桃園市,5
67,四技會資,嘉義縣,3
68,四技會資,新北市,5
69,四技會資,新北市,3
70,四技會資,,3
71,四技會資,台北市,5
72,四技會資,新北市,3
73,四技會資,,3
74,四技會資,台中市,3
75,四技會資,台中市,5
76,四技會資,台中市,3
77,四技會資,台中市,5
78,四技會資,台北市,3
79,四技會資,新北市,1
80,四技財金,新北市,3
81,四技財金,台北市,3
82,四技財金,台北市,5
83,四技財金,台北市,5
84,四技財金,台北市,3
85,四技財金,新北市,3
86,四技財金,新北市,5
87,四技財金,台北市,3
88,四技財金,新北市,5
89,四技財金,台北市,5
90,四技財金,新北市,3
91,四技財金,台北市,3
92,四技財金,台北市,5
93,四技財金,台北市,3
94,四技財金,台北市,5
95,四技財金,台北市,3
96,四技財金,台北市,5
97,四技財金,台北市,1
98,四技財金,台北市,3
99,四技財金,新北市,3
100,四技財金,桃園市,5
101,四技財金,桃園市,3
102,四技財金,台北市,3
103,四技財金,台北市,3
104,四技財金,桃園市,5
105,四技財金,台北市,5
106,四技財金,台北市,3
107,四技財金,台北市,5
108,四技財金,台北市,3
109,四技財金,新北市,3
110,四技財金,新竹市,3
111,四技財金,台北市,5
112,四技財金,新北市,3
113,四技財金,台南市,3
114,四技財金,,5
115,四技財金,台北市,3
116,四技財金,台北市,3
117,四技財金,台北市,5
118,四技財金,台北市,5
119,四技財金,新北市,3
120,四技財金,台北市,3
121,四技財金,台北市,5
122,四技財金,台北市,3
123,四技財金,基隆市,3
124,四技財金,台北市,5
125,四技財金,桃園市,5
126,四技財金,台北市,3
127,進四技企管,台北市,3
128,進四技企管,台北市,5
129,四技財金,桃園市,5
130,四技財金,新北市,3
131,四技財金,台北市,3
132,四技財金,桃園市,5
133,四技財金,台北市,3
134,四技財金,台北市,5
135,四技財金,台北市,3
136,四技財金,新竹縣,3
137,四技財金,台中市,3
138,四技財金,台北市,5
139,四技財金,台北市,3
140,四技財金,台北市,3
141,四技財金,台中市,5
142,四技財金,,3
143,四技財金,台北市,3
144,四技財金,,5
145,四技財金,台北市,3
146,四技財金,台北市,3
147,四技財金,,5
148,四技財金,台北市,3
149,四技財金,,5
150,四技財金,高雄市,3
151,四技財金,台北市,1
152,四技財金,新北市,5
153,四技財金,新北市,1
154,四技財稅,台北市,5
155,四技財稅,台北市,3
156,四技財稅,台北市,3
157,四技財稅,台北市,5
158,四技財稅,台中市,3
159,四技財稅,台中市,5
160,四技財稅,花蓮縣,3
161,四技財稅,台北市,3
162,四技財稅,新竹市,3
163,四技財稅,苗栗縣,5
164,四技財稅,新北市,5
165,四技財稅,新北市,3
166,四技財稅,新北市,3
167,四技財稅,新北市,5
168,四技財稅,台北市,5
169,四技財稅,,3
170,四技財稅,台北市,3
171,四技財稅,台北市,5
172,四技財稅,台北市,3
173,四技財稅,桃園市,5
174,四技財稅,桃園市,3
175,四技財稅,桃園市,3
176,四技財稅,桃園市,5
177,四技財稅,新竹市,3
178,四技財稅,台中市,5
179,四技財稅,台北市,3
180,四技財稅,台北市,5
181,四技財稅,台北市,3
182,四技財稅,新北市,5
183,四技財稅,台北市,3
184,四技財稅,台中市,5
185,四技財稅,,3
186,四技財稅,台北市,5
187,四技財稅,台北市,5
188,四技財稅,新北市,3
189,四技財稅,新北市,3
190,四技財稅,台北市,3
191,四技財稅,台北市,5
192,四技財稅,台北市,3
193,四技財稅,新竹市,3
194,四技財稅,新竹縣,5
195,四技財稅,台北市,3
196,四技財稅,新竹縣,5
197,四技財稅,新竹縣,3
198,四技財稅,台北市,3
199,四技財稅,台北市,5
200,四技財稅,台北市,3
201,四技財稅,台北市,3
202,四技財稅,新北市,5
203,四技財稅,台北市,3
204,四技財稅,台北市,5
205,四技財稅,新北市,3
206,四技財稅,台北市,3
207,四技財稅,新北市,3
208,四技財稅,台北市,5
209,四技財稅,台北市,3
210,四技財稅,桃園市,3
211,四技財稅,桃園市,5
212,四技財稅,台北市,3
213,四技財稅,台北市,5
214,四技財稅,新北市,3
215,四技財稅,,5
216,四技財稅,台北市,3
217,四技財稅,桃園市,3
218,四技財稅,,1
219,四技財稅,台北市,3
220,四技商務,台北市,5
221,四技商務,台北市,3
222,四技商務,台北市,3
223,四技商務,台北市,5
224,四技商務,台北市,5
225,四技商務,新北市,5
226,四技商務,新北市,3
227,四技商務,台北市,3
228,四技商務,台北市,3
229,四技商務,台北市,5
230,四技商務,台北市,5
231,四技商務,台北市,3
232,四技商務,桃園市,5
233,四技商務,台北市,5
234,四技商務,台北市,3
235,四技商務,台中市,3
236,四技商務,台中市,5
237,四技商務,桃園市,3
238,四技商務,新竹縣,3
239,四技商務,新竹市,3
240,四技商務,桃園市,5
241,四技商務,桃園市,3
242,四技商務,,5
243,四技商務,台北市,3
244,四技商務,新北市,3
245,四技商務,新北市,3
246,四技商務,台北市,3
247,四技商務,新北市,5
248,四技商務,台北市,5
249,四技商務,台北市,3
250,四技商務,,3
251,四技商務,台北市,5
252,四技商務,台北市,5
253,四技商務,台北市,3
254,四技商務,台北市,3
255,四技商務,台北市,3
256,四技商務,台北市,5
257,四技商務,新北市,5
258,四技商務,台北市,3
259,四技商務,台北市,3
260,四技商務,基隆市,5
261,四技商務,,3
262,四技商務,新北市,3
263,四技商務,新北市,5
264,四技商務,新北市,5
265,四技商務,新北市,3
266,四技商務,台北市,3
267,四技商務,台北市,3
268,四技商務,台中市,5
269,四技商務,台中市,3
270,四技商務,台中市,3
271,四技商務,,5
272,四技商務,,3
273,四技商務,台北市,5
274,四技商務,台北市,3
275,四技商務,台北市,5
276,四技商務,台中市,3
277,四技商務,台北市,5
278,四技商務,台北市,3
279,四技商務,,3
280,四技商務,台北市,5
281,四技商務,新北市,3
282,四技商務,台北市,5
283,四技商務,台北市,5
284,四技商務,台北市,3
285,四技商務,台北市,5
286,四技商務,台北市,1
287,四技商務,台北市,3
288,四技商務,,3
289,四技商務,桃園市,3
290,四技商務,台北市,5
291,四技商務,台北市,3
292,四技商務,台北市,5
293,四技商務,台北市,3
294,四技商務,新北市,3
295,四技商務,苗栗縣,5
296,四技商務,新竹市,3
297,四技商務,,5
298,四技商務,台中市,3
299,四技商務,台中市,5
300,四技商務,台中市,3
301,四技商務,新竹縣,3
302,四技商務,新竹市,5
303,四技商務,新竹市,5
304,四技商務,新竹市,3
305,四技商務,桃園市,5
306,四技商務,桃園市,5
307,四技商務,桃園市,3
308,四技企管,台北市,3
309,四技企管,台北市,5
310,四技企管,台北市,3
311,四技企管,新北市,5
312,四技企管,,3
313,四技企管,台北市,5
314,四技企管,台中市,3
315,四技企管,新北市,3
316,四技企管,台北市,3
317,四技企管,台北市,5
318,四技企管,桃園市,3
319,四技企管,桃園市,5
320,四技企管,雲林縣,3
321,四技企管,雲林縣,5
322,四技企管,台北市,3
323,四技企管,新北市,5
324,四技企管,台北市,3
325,四技企管,台東縣,3
326,四技企管,新竹縣,5
327,四技企管,台北市,3
328,四技企管,新北市,3
329,四技企管,台北市,3
330,四技企管,新北市,5
331,四技企管,,3
332,四技企管,台北市,3
333,四技企管,桃園市,3
334,四技企管,台北市,5
335,四技企管,新北市,3
336,四技企管,新北市,3
337,四技企管,新北市,5
338,四技企管,台北市,5
339,四技企管,,3
340,四技企管,台北市,3
341,四技企管,台北市,3
342,四技企管,新北市,5
343,四技企管,台北市,5
344,四技企管,新北市,3
345,四技企管,桃園市,3
346,四技企管,台南市,5
347,四技企管,台北市,3
348,四技企管,新北市,5
349,四技企管,台北市,3
350,四技企管,桃園市,5
351,四技企管,桃園市,3
352,四技企管,桃園市,3
353,四技企管,新北市,3
354,四技企管,新竹市,5
355,四技企管,台北市,3
356,四技企管,台北市,3
357,四技企管,台北市,3
358,四技企管,台中市,5
359,四技企管,新北市,3
360,四技企管,新北市,5
361,四技企管,台中市,3
362,四技企管,台中市,5
363,四技企管,台北市,3
