,學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
0,106,公立,技專校院,51,國立臺北商業大學,2112007,數位多媒體設計系,日間,學士班(含四技),45,0,44,...,97.78,本系發展目標包括「遊戲設計」及「動畫設計」。其中「遊戲設計」以程式設計為基礎，將人機互動應用在學習及娛樂，並在桌上型電腦及行動設備上展示執行。「動畫設計」則以故事、角色、影片、音樂、文字及聲音整合包裝寶貴的創意，經過後製修飾，成為可以感動人心的作品。培育具備多媒體科技專業技術、文化創意人文素養與數位應用專業知識之技術人員。本系專業教育內容著重「數位多媒體設計」專業技能之學習與實作，期能提升同學數位媒體設計之品質，加強擴展數位媒體運用範疇之能力。本系可在雙校區優勢互補的基礎上，發展成為桃園的創意設計基地，培養具有國際視野的在地人才，提供國家進行企業產提升及文化創意發展之需求。本系發展「遊戲設計」及「動畫設計」目標，讓同學從基礎扎根，解構設計理念，磨練美工及程式技術，培養創意思考習慣，以文化教育增加底蘊，並在設計的領域中悠遊自在。,http://dmd.ntub.edu.tw/bin/home.php
1,106,公立,技專校院,51,國立臺北商業大學,2112007,數位多媒體設計系,日間,二年制大學(二技),43,0,38,...,88.37,本系發展目標包括「遊戲設計」及「動畫設計」。其中「遊戲設計」以程式設計為基礎，將人機互動應用在學習及娛樂，並在桌上型電腦及行動設備上展示執行。「動畫設計」則以故事、角色、影片、音樂、文字及聲音整合包裝寶貴的創意，經過後製修飾，成為可以感動人心的作品。培育具備多媒體科技專業技術、文化創意人文素養與數位應用專業知識之技術人員。本系專業教育內容著重「數位多媒體設計」專業技能之學習與實作，期能提升同學數位媒體設計之品質，加強擴展數位媒體運用範疇之能力。本系可在雙校區優勢互補的基礎上，發展成為桃園的創意設計基地，培養具有國際視野的在地人才，提供國家進行企業產提升及文化創意發展之需求。本系發展「遊戲設計」及「動畫設計」目標，讓同學從基礎扎根，解構設計理念，磨練美工及程式技術，培養創意思考習慣，以文化教育增加底蘊，並在設計的領域中悠遊自在。,http://dmd.ntub.edu.tw/bin/home.php
2,106,公立,技專校院,51,國立臺北商業大學,2123019,商品創意經營系,日間,學士班(含四技),45,0,44,...,97.78,1.提升學生之文化美學素養，具有靈活的創意思考能力，以孕育文化創意人才。  2.訓練學生充實語文表達、商業管理和美學設計技能。  3.理論與實務並重，配合業界或國家政策之需求，成為未來創意產業之重要尖兵。  4.聯結區域特色，結合航空城與當地產業與社區特色， 攜手共創榮景。  5.加強學術文化交流，定期辦理相關講座、研討會，或與業界作資源、經驗之交流，以促進學術研究之進步。  6.產學研發交流，推動學術研究與實務之配合，鼓勵教師爭取國家型計畫以及桃園航空城相關產業計畫，舉如提供人才服務升級培訓計畫等。  7.鼓勵取得證照和參加國內外競賽。  8.聘請業界教師協同教學，強化學生與業界的聯結。,http://ccm.ntub.edu.tw/bin/home.php
3,106,公立,技專校院,51,國立臺北商業大學,2123019,商品創意經營系,日間,二年制大學(二技),45,0,45,...,100.0,1.提升學生之文化美學素養，具有靈活的創意思考能力，以孕育文化創意人才。  2.訓練學生充實語文表達、商業管理和美學設計技能。  3.理論與實務並重，配合業界或國家政策之需求，成為未來創意產業之重要尖兵。  4.聯結區域特色，結合航空城與當地產業與社區特色， 攜手共創榮景。  5.加強學術文化交流，定期辦理相關講座、研討會，或與業界作資源、經驗之交流，以促進學術研究之進步。  6.產學研發交流，推動學術研究與實務之配合，鼓勵教師爭取國家型計畫以及桃園航空城相關產業計畫，舉如提供人才服務升級培訓計畫等。  7.鼓勵取得證照和參加國內外競賽。  8.聘請業界教師協同教學，強化學生與業界的聯結。,http://ccm.ntub.edu.tw/bin/home.php
4,106,公立,技專校院,51,國立臺北商業大學,2311006,應用外語系,日間,學士班(含四技),24,0,24,...,100.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/bin/home.php
5,106,公立,技專校院,51,國立臺北商業大學,2311006,應用外語系,日間,二年制大學(二技),29,0,29,...,100.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/bin/home.php
6,106,公立,技專校院,51,國立臺北商業大學,2311006,應用外語系,進修,二年制大學(二技),80,0,79,...,98.75,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/bin/home.php
7,106,公立,技專校院,51,國立臺北商業大學,2311006,應用外語科,日間,五專,50,0,48,...,96.0,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/bin/home.php
8,106,公立,技專校院,51,國立臺北商業大學,2311006,應用外語科,進修,附設進專,109,1,107,...,99.07,(一)承襲傳統、創新進步:承襲優良傳統及資源，亦具新設科系追求創新進步之動能。(二)師資優良、領先他校:師資素以經驗豐富、教學認真著稱，近年來復積極延攬具備全外語授課能力之國內外優秀學者，大幅強化師資陣容。(三)全面小班、厚植基礎:以「厚植基礎，多元應用」為方針，重視英語聽說讀寫譯基礎訓練，實施小班教學，以提升學生英語能力。(四)五類課程、聚焦而多元:課程設計符合產業界需求為主軸之「外語+經貿實務+電腦應用+團隊互動」培育套案，一方面拉出明確之培育主軸同時，另一方面鼓勵學生適才適性多元發展。 (五)教室e化設備充實，以提高學生學習效果。(六)畢業出路、升學就業皆宜:培育各行各業外語(尤其英語)人才為目標，尤其聚焦於國際商務、外語教學、翻譯、文化創意等行業。並兼顧學生升學之需求，兼顧學生升學之需求，輔導其繼續於大學、技職院校相關科系或研究所深造。,http://afl.ntub.edu.tw/front/bin/cglist.phtml?Category=8
9,106,公立,技專校院,51,國立臺北商業大學,4111009,會計資訊系,日間,學士班(含四技),33,0,32,...,96.97,一、專業智能:(一)培養學生兼具會計、審計、稅務、金融及商管等專業知識與實務技能。(二)藉由校外企業實務實習、業界教師、企業參訪、及實務課程，以培養實務技能。(三)輔導學生取得相關證照，以培養具備專業實務技能。二、資訊技術:整合資訊系統於會計、審計、稅務及財金等專業課程，培養學生具備資訊技術應用能力。三、職業道德:培養學生具有企業倫理、職業道德及敬業服務的精神與態度。四、思辯表達:團隊合作、表達溝通、領導協商及分析思考的能力。五、國際視野:(一).培養學生具備英文閱讀、書寫及通過英文檢定  。(二)鼓勵參加國際性競賽與學術交流活動，增進國際觀。(三)培養對多元文化的認知、國際企業財務報表，以及前瞻性、國際化視野之能力。六、服務學習:培養學生具備服務社會之利他價值觀，參與志工團隊，關懷弱勢、服務人群及回饋社會的能力。,http://ai.ntub.edu.tw/bin/home.php
